stock_code,stock_name,price,last_close,open,volume,change_amt,change_pct,high,low,amount_wan,turnover_pct,pe_ttm,amplitude_pct,mcap_yi,float_mcap_yi,pb,limit_up,limit_down,vol_ratio
000096,广聚能源,8.21,8.22,8.16,6130700.0,-0.01,-0.12,8.28,8.15,5031,1.20,38.52,1.58,41.94,43.35,1.57,9.04,7.40,0.94
000099,中信海直,15.60,15.95,16.05,9245500.0,-0.35,-2.19,16.19,15.55,14604,1.19,38.96,4.01,121.02,121.02,2.20,17.55,14.36,0.96
000100,TCL科技,4.28,4.59,4.57,1115623300.0,-0.31,-6.75,4.57,4.26,486903,5.83,17.59,6.75,818.85,890.28,1.42,5.05,4.13,0.75
000150,*ST宜康,0.51,0.51,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-0.43,0.00,4.11,4.48,-0.52,-1,-1,0.00
000151,中成股份,13.31,12.10,12.31,32194200.0,1.21,10.00,13.31,12.21,41829,10.45,11.80,9.09,40.99,46.71,5.33,13.31,10.89,3.23
000153,丰原药业,5.68,5.67,5.66,6534800.0,0.01,0.18,5.74,5.66,3722,1.42,26.82,1.41,26.06,26.39,1.21,6.24,5.10,0.93
000155,川能动力,14.25,14.03,14.04,58294400.0,0.22,1.57,14.64,14.02,83414,3.16,49.41,4.42,263.08,263.08,2.45,15.43,12.63,1.43
000156,华数传媒,6.95,6.93,6.93,9238600.0,0.02,0.29,7.06,6.93,6447,0.54,28.71,1.88,118.14,128.78,0.85,7.62,6.24,0.73
000157,中联重科,7.21,7.21,7.21,70767000.0,0.00,0.00,7.36,7.20,51610,1.00,14.39,2.22,509.72,623.56,1.07,7.93,6.49,1.05
000158,常山北明,15.33,15.84,15.86,22200000.0,-0.51,-3.22,16.03,15.32,34488,1.40,774.90,4.48,243.43,245.07,4.62,17.42,14.26,0.52
000159,国际实业,6.47,6.67,6.64,16470800.0,-0.20,-3.00,6.66,6.40,10721,3.43,84.75,3.90,31.10,31.10,1.51,7.34,6.00,0.55
000166,申万宏源,4.41,4.36,4.36,118937100.0,0.05,1.15,4.46,4.34,52481,0.53,11.17,2.75,993.82,1104.26,0.96,4.80,3.92,1.30
000301,东方盛虹,12.05,12.20,12.13,17492000.0,-0.15,-1.23,12.29,12.05,21266,0.26,65.03,1.97,796.28,796.65,2.29,13.42,10.98,0.86
000333,美的集团,80.85,78.95,78.92,42972900.0,1.90,2.41,81.26,78.50,346122,0.63,13.92,3.50,5547.01,6154.35,2.65,86.85,71.06,1.67
000338,潍柴动力,35.34,35.31,35.89,104540800.0,0.03,0.08,36.34,35.00,371954,2.11,27.08,3.79,1750.47,3061.20,3.21,38.84,31.78,1.25
000400,许继电气,26.62,26.70,26.75,32161300.0,-0.08,-0.30,27.14,26.20,85915,3.18,25.33,3.52,269.31,271.16,2.21,29.37,24.03,1.37
000401,金隅冀东,3.99,3.85,3.93,19057800.0,0.14,3.64,4.05,3.91,7608,0.72,108.93,3.64,104.99,106.06,0.41,4.24,3.47,2.15
000402,金 融 街,3.09,2.93,2.94,189193700.0,0.16,5.46,3.22,2.94,59500,6.33,-1.98,9.56,92.35,92.36,0.47,3.22,2.64,3.61
000403,派林生物,12.90,12.62,12.64,18321100.0,0.28,2.22,12.97,12.58,23422,1.95,34.72,3.09,121.35,122.60,1.51,13.88,11.36,0.72
000404,长虹华意,8.33,8.68,8.62,25536700.0,-0.35,-4.03,8.76,8.28,21544,3.69,11.37,5.53,57.70,57.98,1.31,9.55,7.81,0.63
000405,ST鑫光,2.86,2.86,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,1469.05,0.00,3.23,10.89,-1.37,-1,-1,0.00
000406,石油大明,10.12,10.12,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,16.93,0.00,26.90,36.84,1.95,-1,-1,0.00
000407,胜利股份,4.15,4.22,4.21,15079800.0,-0.07,-1.66,4.23,4.13,6304,1.72,22.23,2.37,36.34,36.52,1.18,4.64,3.80,0.57
